"AverageRateBlockedDefTent__c","AverageRateBlockedDef__c","AverageRateBlockedTent__c","BlockedDefinite__c","BlockedDefTent__c","BlockedProspect__c","BlockedTentative__c","BudgetedRate__c","BudgetedRooms__c","CreatedById","CreatedDate","CurrencyIsoCode","DailyRoomInventory__c","EffectiveDateString__c","EffectiveDate__c","ExternalId__c","ForecastedOccupancy__c","GroupAvailable__c","GuestroomType__c","Id","IsDeleted","IsRunOfHouse__c","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Location__c","MinimumAcceptableRate__c","Name","NIHRMMigrations_ExternalID__c","OccupancyPercentage__c","OutOfService__c","OwnerId","PhysicalRoomInventory__c","PMSOnlyTransient__c","RackRate__c","RecordTypeId","RevenueBlockedDef__c","RevenueBlockedTent__c","RevenueDefTent__c","RoomTypeAvailable__c","SourceSystemExternalId__c","SystemModstamp","TotalAverageRateBlockedDefTent__c","TotalAverageRateBlockedDef__c","TotalAverageRateBlockedTent__c","TotalBlockedDefinite__c","TotalBlockedDefTent__c","TotalBlockedProspect__c","TotalBlockedTentative__c","TotalDailyRoomInventory__c","TotalForecastedOccupancy__c","TotalGroupAvailable__c","TotalGroupCeiling__c","TotalOccupancyPercentage__c","TotalOutOfService__c","TotalPhysicalRoomInventory__c","TotalRevenueBlockedDef__c","TotalRevenueBlockedTent__c","TotalRevenueDefTent__c","TotalRoomTypeAvailable__c","TotalTransientProtected__c","TotalTransientSold__c","TransientProtectedRemaining__c","TransientProtected__c","TransientSold__c","UniqueExternalId__c"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-16","2026-01-16","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMsuAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/16/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-17","2026-01-17","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMsvAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/17/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-18","2026-01-18","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMswAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/18/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-19","2026-01-19","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMsxAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/19/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-20","2026-01-20","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMsyAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/20/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-21","2026-01-21","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMszAAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/21/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-22","2026-01-22","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMt0AAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/22/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-23","2026-01-23","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMt1AAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/23/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-24","2026-01-24","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMt2AAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/24/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","005fh000000Tuy5AAC","2025-07-23T13:17:11.000Z","USD","70.0","2026-01-25","2026-01-25","","0.0","70.0","a1Bfh000000uGrhEAE","a19fh000001aMt3AAE","false","false","005fh000000KFxNAAW","2025-08-20T13:28:30.000Z","","","a1Sfh0000007ggrEAA","","Standard: 1/25/2026","","0.0","","005fh000000Tuy5AAC","70.0","0.0","0.0","012fh0000007pXXAAY","0.0","0.0","0.0","70.0","","2025-08-20T13:28:30.000Z","0.0","0.0","0.0","","0.0","","","0.0","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","0.0","","0.0",""
